galaxy,r_max,M_bar_max,V_max,g0,mass_norm,slope_3,slope_5,slope_8,slope_original,slope_g_schwach,delta_g_schwach,slope_g_mittel,delta_g_mittel,slope_g_stark,delta_g_stark,slope_g_phase_halb,delta_g_phase_halb,slope_g_phase_ganz,delta_g_phase_ganz,q,regime_q,groesse
NGC3893,19.05,312429.11184,194.0,12083.333333333334,0.12526043283937602,1.5274405592602944,1.3335147813288708,1.1859383861033168,1.3335147813288708,1.334196432641576,-0.0006816513127052559,1.3380793451903825,-0.004564563861511717,1.343028364018911,-0.009513582690040101,1.334899108950174,-0.0013843276213032496,1.3382653629141852,-0.004750581585314384,0.3392070558413332,Peak,Uebergang
NGC3917,14.86,136488.666527,138.0,678.7241379310345,0.05472162739942343,3.0218520468984567,2.906339385453522,2.613389331753276,2.906339385453522,2.9070394817195186,-0.0007000962659966525,2.909506060665426,-0.0031666752119039465,2.9134477111969743,-0.007108325743452326,2.9089002621191034,-0.0025608766655813575,2.9094623456135498,-0.0031229601600277768,1.0552824937068368,Peak,Klein
NGC3949,7.07,185703.16590700002,169.0,8694.827586206897,0.07445291766877903,1.6184736037811858,1.4732781624219535,1.4196675714601283,1.4732781624219535,1.473837603613436,-0.0005594411914824349,1.4761894999863796,-0.0029113375644260753,1.478248598509886,-0.004970436087932573,1.4699493288260328,0.0033288335959207327,1.4735790688544936,-0.0003009064325401045,2.9999999910292843,Diffus,Klein
NGC3953,15.68,778188.3722,224.0,9360.285714285714,0.31199465298950946,1.515875575798359,1.400286875223212,1.2416372472164512,1.400286875223212,1.400702037626532,-0.00041516240331995746,1.4073563627962282,-0.0070694875730161755,1.4224542393597988,-0.02216736413658671,1.3930917803324547,0.007195094890757314,1.401512462967848,-0.001225587744635881,2.292991767571273,Transition,Klein
NGC3972,8.72,82350.04936,134.0,1802.4827586206898,0.03301613849755512,2.512808772989083,2.264233470040904,2.080981039086142,2.264233470040904,2.264649967928668,-0.0004164978877638781,2.2659755197143805,-0.0017420496734765756,2.2678460169569195,-0.0036125469160155355,2.2645262141986184,-0.00029274415771451956,2.266108880989416,-0.0018754109485121795,2.9999999999999982,Diffus,Klein
NGC3992,46.02,1282834.865164,272.0,6692.491838955387,0.5143197108794918,1.2699185017841885,1.1297322353524315,0.922790125934987,1.1297322353524315,1.129734422332511,-2.186980079477152e-06,1.1304067481013849,-0.0006745127489533598,1.136189626581679,-0.0064573912292476,1.1291855859477828,0.0005466494046486581,1.1299258204285565,-0.00019358507612499132,3.0,Diffus,Gross
NGC4010,10.47,97133.97281100001,129.0,1775.2758620689654,0.03894337312569317,1.9319710583863847,2.087340378851997,2.1378764051293877,2.087340378851997,2.087844214251167,-0.0005038353991699829,2.089375776072866,-0.002035397220868873,2.0913694950505994,-0.004029116198602356,2.088402813900696,-0.001062435048698962,2.0898058981485255,-0.0024655192965283845,0.3365099732510371,Peak,Klein
NGC4013,31.01,452394.047456,198.0,7140.983606557376,0.1813757810997968,0.8234178622062793,0.9393424668417614,0.8958087349251831,0.9393424668417614,0.9394228793629297,-8.041252116830488e-05,0.9419794792251479,-0.002637012383386539,0.9477811697712396,-0.008438702929478237,0.938272107712972,0.0010703591287893888,0.9413887203347234,-0.002046253492962058,1.1783616831241974,Peak,Gross
NGC4051,12.19,367201.23506999994,161.0,8414.367816091954,0.14721990973612226,1.221990163392862,1.4169751991813835,1.335805399477348,1.4169751991813835,1.417807537848948,-0.0008323386675646027,1.4228029992723688,-0.005827800090985269,1.4298437846950545,-0.012868585513670983,1.4143943654275932,0.002580833753790257,1.4208198528855356,-0.003844653704152101,2.999999999999233,Diffus,Klein
NGC4068,2.33,2110.121861,41.9,104.29714285714284,0.000845999196733144,2.9245743788698926,2.8851314854184453,2.8506866280443677,2.8851314854184453,2.885146945418407,-1.545999996155345e-05,2.8851810928711035,-4.960745265814026e-05,2.885231997302592,-0.00010051188414683665,2.885150937199483,-1.945178103746059e-05,2.885176287322447,-4.480190400180106e-05,,,Klein
NGC4085,6.2,123941.13472,136.0,2046.9425287356323,0.04969101659637011,2.729033476342669,2.427915925289768,2.1878360815051145,2.427915925289768,2.428539542407608,-0.0006236171178399808,2.4306149185688644,-0.0026989932790963955,2.4336996131561506,-0.005783687866382614,2.427125315385007,0.000790609904760764,2.429882108350613,-0.0019661830608450614,2.9999995027488,Diffus,Klein
NGC4088,21.48,620131.3110219999,182.0,4142.534482758621,0.2486257313807733,2.191655845867551,1.969629912017288,1.6578753604154137,1.969629912017288,1.9709648308398025,-0.0013349188225144637,1.9791164399956584,-0.009486527978370463,1.9934181520375192,-0.023788240020231166,1.9744176524844508,-0.004787740467162793,1.978496411994149,-0.008866499976861064,2.999999996668475,Diffus,Uebergang
NGC4100,22.76,324164.727752,195.0,5517.241379310345,0.12996552680490442,2.3121146660422536,2.091507001428089,1.7857357459022005,2.091507001428089,2.0920420337997694,-0.0005350323716801775,2.0967056498170074,-0.005198648388918148,2.1052316477099797,-0.013724646281890518,2.0932464703336997,-0.0017394689056104973,2.096283147444214,-0.004776146016124638,0.3965878958699879,Peak,Uebergang
NGC4138,18.58,213680.33154,195.0,12276.24521072797,0.0856696441004797,1.0448968732173425,0.7525723949662735,0.7269975159341157,0.7525723949662735,0.7527605519702691,-0.00018815700399565927,0.7546630420298239,-0.0020906470635504437,0.7577680709016548,-0.005195675935381283,0.7519093490052995,0.0006630459609739958,0.753936696411401,-0.0013643014451275581,3.0,Diffus,Uebergang
NGC4157,29.61,584467.4308709999,201.0,5340.781609195403,0.2343272140686809,2.26606433193653,1.9435997129247518,1.59614011325423,1.9435997129247518,1.9448565868873542,-0.001256873962602434,1.9525095296823738,-0.008909816757622036,1.9658378425852296,-0.02223812966047789,1.9506967961890487,-0.007097083264296922,1.9523139073671605,-0.00871419444240873,0.4071303081014025,Peak,Uebergang
NGC4183,21.02,78544.160188,115.0,2549.896551724138,0.03149026492509637,1.8837237930195259,1.8684140091246477,1.78982621000468,1.8684140091246477,1.8688132626222411,-0.00039925349759339923,1.8699054306600698,-0.0014914215354220328,1.8710858387359919,-0.0026718296113441564,1.8705001655339588,-0.0020861564093110907,1.8701582568492532,-0.0017442477246054633,3.0,Diffus,Uebergang
NGC4214,5.63,6235.896659,80.6,14667.857142857143,0.002500122699986992,1.2293251099342952,1.2702901463449126,1.2905648178706701,1.2702901463449126,1.2702892463716546,8.999732579173525e-07,1.2700997133350471,0.00019043300986543166,1.269686363388241,0.000603782956671628,1.2707194182201305,-0.000429271875217907,1.2705639867243201,-0.0002738403794075861,2.9999999999990887,Diffus,Klein
NGC4217,16.72,402025.53932499996,191.0,2626.252873563218,0.16118182064327657,3.0397333696779394,2.64816155288163,2.261859312490656,2.64816155288163,2.6502112549213805,-0.002049702039750745,2.6572667654703834,-0.00910521258875363,2.668336248695653,-0.020174695814023202,2.656549282450342,-0.008387729568712032,2.6574198331089782,-0.009258280227348425,1.6380858780258845,Transition,Uebergang
