galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
KK98-251,2.977381065614508,5,KK98-251_rotmod.dat,3.0,0.3625643640887768,0.0036002007164529,15.0,Peak,0.9773810656145079,0.17738106561450806
NGC0024,3.0459486061944965,5,NGC0024_rotmod.dat,0.941695864112346,0.6253058794361918,0.004488608509142,29.0,Peak,1.0459486061944965,0.24594860619449666
NGC0055,2.2485464747576014,5,NGC0055_rotmod.dat,2.371596385865066,0.3795513013209691,0.0012012682246519,21.0,Peak,0.2485464747576014,0.0
NGC0100,2.854144558211796,5,NGC0100_rotmod.dat,1.5880951993947974,0.977171439892976,0.0009959482030005,20.0,Peak,0.8541445582117961,0.05414455821179631
NGC0247,2.254423280222649,5,NGC0247_rotmod.dat,0.936708311439276,2.9999999999999942,0.0014162018751944,26.0,Diffus,0.25442328022264915,0.0
NGC0289,1.0853867919236948,5,NGC0289_rotmod.dat,1.2140260918541037,0.5309712303149732,0.0178764766445959,28.0,Peak,0.9146132080763052,1.1146132080763054
NGC0300,2.208303481291112,5,NGC0300_rotmod.dat,1.0293811297999436,1.3320577909087532,0.0043971197964244,25.0,Transition,0.2083034812911122,0.0
NGC0801,2.285015064304159,5,NGC0801_rotmod.dat,0.6856452583082766,3.0,0.0150534965502193,11.0,Diffus,0.2850150643041589,0.0
NGC0891,0.9552773592940527,5,NGC0891_rotmod.dat,3.0,0.4782521201325272,0.0165978649330844,11.0,Peak,1.0447226407059473,1.2447226407059475
NGC1003,1.9015122232020514,5,NGC1003_rotmod.dat,0.9092474883496094,1.638680003647974,0.0035980529782753,36.0,Transition,0.09848777679794862,0.2984877767979488
NGC1090,2.4589075370397477,5,NGC1090_rotmod.dat,0.6190055244728098,2.2992685624329368,0.0069548761953719,21.0,Transition,0.45890753703974774,0.0
NGC1705,1.3654436839620152,5,NGC1705_rotmod.dat,0.4630549132544225,1.6488686687272214,0.001375236289676,14.0,Transition,0.6345563160379848,0.834556316037985
NGC2366,2.5708419755426717,5,NGC2366_rotmod.dat,3.0,0.2363044386992381,0.0056099136246285,26.0,Peak,0.5708419755426717,0.0
