filename,p,q,MSE,n_points
NGC7331_rotmod.dat,2.9999999999999996,0.4459797174832505,0.0006353001050750241,25
NGC6946_rotmod.dat,2.2565540735993985,0.4547250182197898,0.004488338734411945,47
NGC6674_rotmod.dat,0.5047823255926205,1.202087186470116,0.024771218913751773,15
NGC6503_rotmod.dat,0.705182641160763,1.6907307579872102,0.003815640410290873,30
NGC6195_rotmod.dat,2.999999999999998,1.0835556932739931,0.015812170630657797,7
NGC6015_rotmod.dat,0.5963568592864694,2.9999999999999964,0.008073241244435913,44
NGC5985_rotmod.dat,0.647664930807695,0.8521426476207469,0.009215560731841535,33
NGC5907_rotmod.dat,0.43540784482433553,2.9999999999999996,0.012020378308476652,19
NGC5585_rotmod.dat,2.5636830219815328,0.32384819054538844,0.0012686240758347058,24
NGC5371_rotmod.dat,1.8797763558206406,2.9999999999999996,0.07870759742633399,19
NGC5055_rotmod.dat,1.6814938290744808,0.4985595590798722,0.0028993298520321245,16
NGC5033_rotmod.dat,1.7742365174353298,0.3403638093241747,0.004813198667598577,18
NGC5005_rotmod.dat,2.9999999893329963,2.999999985314973,0.0022508950846946577,8
NGC4559_rotmod.dat,2.370198271685313,0.35745330117468777,0.0016597460431072972,31
NGC4217_rotmod.dat,2.9999999999999227,1.6380858780258845,0.00184753795834946,8
NGC4214_rotmod.dat,0.548169053002701,2.9999999999990887,0.006447550257672701,14
NGC4183_rotmod.dat,0.5710676756759712,2.9999999999999996,0.0043052345916638705,23
NGC4157_rotmod.dat,2.9999999999999996,0.40713030810140255,0.0015981524699327752,15
NGC4138_rotmod.dat,0.41461728000926595,2.9999999999999996,0.016006283085893927,6
NGC4100_rotmod.dat,1.5334517274506472,0.3965878958699879,0.009511436779250421,24
NGC4088_rotmod.dat,2.999999996908471,2.999999996668475,0.0067167314031007,5
NGC4085_rotmod.dat,2.9999985659113477,2.9999995027487993,0.011059816242812237,5
NGC4051_rotmod.dat,0.7892597203929201,2.9999999999992335,0.11494637673171966,6
NGC4013_rotmod.dat,1.5586870259350014,1.1783616831241974,0.005623246248144295,36
NGC4010_rotmod.dat,2.9999999999999294,0.33650997325103715,0.008646920127189772,11
NGC3992_rotmod.dat,0.3391305399465788,2.9999999999999996,0.0026251024198534288,9
NGC3972_rotmod.dat,1.0918104450454744,2.9999999999999982,0.0032641814749147765,10
NGC3953_rotmod.dat,0.5914295987373437,2.2929917675712734,0.0075674160287879655,8
NGC3949_rotmod.dat,2.9999999990199706,2.9999999910292843,0.002331181118455819,5
NGC3917_rotmod.dat,1.1265223233796247,1.0552824937068368,0.003087892427656933,16
NGC3893_rotmod.dat,2.2439730492378875,0.33920705584133326,0.002128497821110394,9
NGC3877_rotmod.dat,0.7121977411047823,2.9999999999858367,0.15368804436983544,11
NGC3769_rotmod.dat,1.0632641887833227,0.7044986410234806,0.006392305074810667,10
NGC3741_rotmod.dat,1.2596533292786494,1.18629699533103,0.0008598100931159735,21
NGC3726_rotmod.dat,1.3709082626155122,2.9999999999999996,0.007689650668079894,10
