galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
NGC0891,212.75,3.832427429188973,4,NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,69.17,5.93446,75.10446,2.3346547668832414,2.327869568756625,1.8756657278946636,-0.0225646278782356,0.002053574912896
UGC03580,121.3,6.558200972827838,10,UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",6.633,5.8121,12.4451,2.101059354908116,2.083860800866573,1.094998390641173,0.0026705967997397,0.0635004482745735
NGC5005,264.5,0.5,4,NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,89.36,1.7024,91.0624,2.4186326873540653,2.4224256763712044,1.9593390921946745,-0.2286145106269317,-0.2406016702515399
UGC06614,203.66666666666663,1.247219128924647,3,UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",62.175,29.111040000000003,91.28604,2.300595483889964,2.308919955522892,1.9604043677367131,0.1796783036352376,0.1521904327279111
UGC07125,65.16666666666667,0.2494438257849279,3,UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",1.356,6.156569999999999,7.512569999999999,1.81424759573192,1.8140255070122235,0.8757885316626562,0.7729593309561739,0.7755363697044705
UGC01281,55.620000000000005,0.99478640923567,5,UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",0.1765,0.39102,0.56752,1.741939077729199,1.7452309845281406,-0.2460188288721324,-0.0993841406471588,-0.1088498297086223
NGC7331,238.375,1.8666480653835096,8,NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",125.3155,14.71911,140.03461,2.378397900948137,2.377260706054062,2.146235386209625,0.0970915192862365,0.102166331386702
NGC4010,124.33333333333331,2.0548046676563256,3,NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",8.5965,3.76656,12.36306,2.0996806411092503,2.094587577089025,1.0921259769531957,0.0045547362190379,0.0236081735007593
UGC05986,109.33333333333331,2.0548046676563256,3,UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",2.3475,3.54711,5.89461,2.05307844348342,2.0387525889920166,0.7704550765301885,-0.1563389034661062,-0.1053670408917932
NGC2683,155.33333333333334,3.6817870057290873,3,NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,"Sa96,Br92",40.2075,1.86998,42.07748,2.187520720836463,2.191264661970337,1.6240497222372714,0.2334308116286607,0.221883469495973
NGC1090,161.8,0.9797958971132712,5,NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,36.0225,11.68139,47.70389,2.215901813204032,2.208978517276253,1.6785537949028326,0.1900203111609413,0.2152541271335375
NGC3917,137.25,0.4330127018922193,4,NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",10.983,2.51104,13.49404,2.1332194567324945,2.1375123531221294,1.1301419931879977,-0.0731379303767865,-0.0865162406166712
UGC08550,57.53333333333333,0.2054804667656324,3,UGC08550,7,6.7,2.0,1,90.0,3.0,0.289,0.009,1.01,45.38,0.45,1284.78,0.288,5.59,56.9,1.9,1,"Sw09,Sw02",0.1445,0.38304,0.52754,1.7551122663950711,1.7599195366595284,-0.277744604995836,-0.176557326909908,-0.191268204258858
UGC08286,83.7,0.4062019202317959,4,UGC08286,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",0.6275,0.8538600000000001,1.48136,1.915927211697116,1.92272545799326,0.1706606135612811,-0.2829625616916034,-0.3047328771525541
UGC12632,73.1,0.0816496580927737,3,UGC12632,9,9.77,2.93,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,"Sw09,Sw02",0.6505,2.31952,2.9700200000000003,1.8555191556678,1.8639173769578603,0.4727593738493312,0.2275435757092678,0.2003221996938953
UGC11455,269.5,4.847679857416329,8,UGC11455,6,78.6,11.8,1,90.0,1.0,374.322,3.792,10.06,571.26,5.93,9568.2,13.335,43.44,269.4,7.4,1,SG06,187.161,17.735550000000003,204.89655,2.430397591386966,2.430558769522757,2.311534645914242,0.0829922052347997,0.0835252473349781
UGC12506,230.28571428571428,3.989782869648269,7,UGC12506,6,100.6,10.1,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,Ha14,69.7855,47.28948,117.07498,2.369215857410143,2.362266997454815,2.068464092263296,0.0509982122852346,0.0761407808020955
UGCA444,35.900000000000006,1.6093476939431082,8,UGCA444,10,0.98,0.05,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,Ke07,0.006,0.08911,0.09511,1.568201724066995,1.5550944485783191,-1.021773818325474,-0.2757464569495709,-0.2284125017095308
UGC09037,150.6,5.2,5,UGC09037,6,83.6,8.4,1,65.0,5.0,68.614,1.769,5.69,334.83,4.28,841.07,19.078,39.72,152.3,9.6,2,Ha14,34.307,25.37374,59.68074,2.182699903336043,2.177824971864682,1.775834199449937,0.4018470760041939,0.4200505178027087
UGC11914,286.46153846153845,6.535293350079829,13,UGC11914,2,16.9,5.1,1,31.0,5.0,150.028,0.553,3.12,2425.66,2.44,3168.33,0.888,9.26,288.1,10.5,1,"No07,No05",75.014,1.18104,76.19503999999999,2.459543258280413,2.4570663200024683,1.881926701382376,-0.4471680892769996,-0.4375645940999604
UGC09133,228.78571428571428,5.9061538297968905,14,UGC09133,2,57.1,11.4,1,53.0,6.0,282.926,2.345,5.92,1284.78,6.97,864.63,33.428,60.35,226.8,4.2,1,"No07,No05",141.463,44.45924,185.92224,2.355643050220869,2.3594289029855835,2.2693313431423534,0.2986915544558557,0.2868027603881349
UGC08490,77.61666666666667,0.6693695209341075,6,UGC08490,9,4.65,0.53,2,50.0,3.0,1.017,0.012,1.14,124.98,0.67,576.54,0.72,7.8,78.6,3.8,1,"Sw09,Sw02",0.5085,0.9576,1.4661,1.895422546039408,1.889954987549088,0.1661635937478342,-0.2167186262552334,-0.196133637810197
UGC08699,180.33333333333331,3.265986323710904,9,UGC08699,2,39.3,9.82,1,73.0,9.0,50.302,0.695,1.91,2191.95,3.09,1370.35,3.738,19.05,182.4,6.9,2,"No07,No05",25.151,4.97154,30.12254,2.2610248339923973,2.256076010386907,1.4788915897555706,-0.1653160048258897,-0.1469492382178625
UGC07603,62.833333333333336,1.0274023338281628,3,UGC07603,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",0.188,0.34314,0.53114,1.7895807121644254,1.7981900998221492,-0.2747909907572367,-0.292519613101221,-0.3203925697017508
