galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar
F561-1,50.4,5.0,6,F561-1,9,66.4,10.0,1,24.0,10.0,4.077,0.327,5.39,22.12,2.79,93.07,1.622,10.69,50.0,2.9,3,"dB97,dB96",2.0385,2.1572600000000004,4.19576
F563-1,111.0,10.7,17,F563-1,9,48.9,9.8,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,"KN08,dB96",0.9515,4.256,5.2075000000000005
F563-V1,28.6,5.0,6,F563-V1,10,54.0,10.8,1,60.0,10.0,1.54,0.165,5.01,9.75,3.79,40.63,0.61,6.83,0.0,0.0,3,"dB97,dB96",0.77,0.8113,1.5813000000000001
F563-V2,118.0,40.3,10,F563-V2,10,59.7,11.9,1,29.0,10.0,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,"dB01,dB96",1.493,2.88477,4.37777
F565-V2,78.5,6.0,7,F565-V2,10,51.8,10.4,1,60.0,10.0,0.559,0.098,3.57,6.93,2.17,40.26,0.699,7.31,0.0,0.0,2,"dB97,dB96",0.2795,0.92967,1.20917
F567-2,48.1,8.0,5,F567-2,9,79.0,11.8,1,20.0,10.0,2.134,0.305,5.43,11.5,3.08,46.65,2.449,14.94,0.0,0.0,3,"dB97,dB96",1.067,3.25717,4.32417
F568-1,133.0,9.1,12,F568-1,5,90.7,9.7,1,26.0,5.0,6.252,0.564,7.0,20.36,5.18,57.13,4.498,16.31,0.0,0.0,1,"dB01,dB96",3.126,5.982340000000001,9.10834
F568-3,117.0,11.7,18,F568-3,7,82.4,8.24,1,40.0,10.0,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1,"KN08,dB96",4.173,4.24935,8.42235
F568-V1,113.0,14.6,15,F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",1.9125,3.3130300000000004,5.225530000000001
F571-8,140.0,4.0,13,F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",5.082,2.37006,7.4520599999999995
F571-V1,83.9,6.0,7,F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",0.9245,1.61861,2.54311
F574-1,99.5,4.62,14,F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",3.2685,4.686920000000001,7.95542
F574-2,36.0,8.0,5,F574-2,9,89.1,8.91,1,30.0,10.0,2.877,0.384,6.48,10.89,3.76,41.38,1.701,12.61,0.0,0.0,3,"dB97,dB96",1.4385,2.2623300000000004,3.7008300000000003
F579-V1,114.0,9.1,14,F579-V1,5,89.5,8.95,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,"dB01,dB96",5.924,2.98585,8.90985
F583-1,85.8,6.0,25,F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",0.493,2.82758,3.32058
