galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
UGC05721,78.9,4.57,23,UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",0.2655,0.7474600000000001,1.01296,1.9014583213961123,1.8970770032094204,9.005592296177396,-0.4013980345418062,-0.37920197605557426
UGC05986,109.0,5.1,15,UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",2.3475,3.54711,5.89461,2.05307844348342,2.037426497940624,9.770455076530189,-0.15405432402623198,-0.09622232910523998
UGC06399,85.6,4.9,9,UGC06399,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",1.148,0.8964200000000001,2.04442,1.9294189257142929,1.9324737646771533,9.310570120887753,-0.19185705383094742,-0.1957572025402925
UGC06446,83.2,7.0,17,UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",0.494,1.83407,2.3280700000000003,1.9148718175400503,1.920123326290724,9.366996034464401,-0.08577806131257226,-0.09692666214297496
UGC06614,204.0,16.0,13,UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",62.175,29.111040000000003,91.28604,2.3005954838899636,2.3096301674258988,10.960404367736713,0.19105467318359715,0.15912896140004484
UGC06628,42.3,8.27,7,UGC06628,9,15.1,4.53,1,20.0,10.0,3.739,0.076,4.14,34.74,2.82,103.0,1.5,10.47,41.8,6.4,2,"Sw09,Sw02",1.8695,1.995,3.8645,1.6211762817750353,1.6263403673750423,9.587093311633927,1.1367787732825292,1.1318600517335877
UGC06667,85.0,3.0,9,UGC06667,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",0.6985,1.07597,1.77447,1.9232440186302764,1.9294189257142929,9.249068661364879,-0.23228194299852767,-0.24677002172796492
UGC06786,215.0,7.05,45,UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",36.7035,6.689900000000001,43.3934,2.341236623238692,2.3324384599156054,10.6374236797072,-0.2706448362221927,-0.24216288459657775
UGC06787,252.0,3.46,71,UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",49.128,6.689900000000001,55.8179,2.394626764272209,2.401400540781544,10.746773493285398,-0.3435295159669405,-0.36959100653769106
UGC06818,71.2,6.0,8,UGC06818,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",0.794,1.43507,2.22907,1.8524799936368563,1.8524799936368563,9.348123706944298,0.10830919876899792,0.1164510882973655
UGC06917,110.0,4.9,11,UGC06917,9,18.0,2.5,4,56.0,2.0,6.832,0.12,4.52,53.07,2.76,261.11,2.023,12.67,108.7,3.5,1,"VS01,SV98",3.416,2.6905900000000003,6.106590000000001,2.0362295440862948,2.041392685158225,9.785798762190888,-0.08120094490439733,-0.09449635348859076
UGC06923,79.3,5.1,6,UGC06923,10,18.0,2.5,4,65.0,2.0,2.89,0.077,1.66,166.28,1.44,347.4,0.809,6.75,79.6,2.5,2,"VS01,SV98",1.445,1.07597,2.52097,1.900913067737669,1.8992731873176039,9.401567677524133,-0.0035615600745906306,0.009232914450016949
UGC06930,108.0,7.4,10,UGC06930,7,18.0,2.5,4,32.0,5.0,8.932,0.14,4.38,73.93,3.94,189.16,3.237,16.76,107.2,5.1,1,"VS01,SV98",4.466,4.305210000000001,8.77121,2.030194785356751,2.03342375548695,9.943059508996027,0.09665800932473623,0.09012532402180184
UGC06983,108.0,9.8,17,UGC06983,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",2.649,3.9461100000000005,6.59511,2.037426497940624,2.03342375548695,9.819222043551013,-0.05186317961432074,-0.033712141423212216
UGC07125,65.1,3.22,13,UGC07125,9,19.8,5.9,1,90.0,3.0,2.712,0.08,3.92,28.11,3.38,103.0,4.629,23.04,65.2,2.1,1,"Sw09,Sw02",1.356,6.156569999999999,7.512569999999999,1.8142475957319202,1.813580988568192,9.875788531662657,0.7664711813119354,0.7776737465129244
UGC07151,74.0,3.21,11,UGC07151,6,6.87,0.34,2,90.0,3.0,2.284,0.025,2.17,76.71,1.25,965.67,0.616,6.39,73.5,2.8,1,"Sw09,Sw02",1.142,0.81928,1.96128,1.866287339084195,1.8692317197309762,9.292539599672017,0.005597015919034831,0.0033507478844203575
UGC07261,74.7,5.66,7,UGC07261,8,13.1,3.93,1,30.0,10.0,1.753,0.048,2.66,39.16,1.2,566.02,1.388,10.1,74.7,3.4,2,"Sw09,Sw02",0.8765,1.84604,2.72254,1.8733206018153987,1.8733206018153987,9.434974269199772,0.1240253231218933,0.13174644053713713
